2026-02-28 14:02:47,633 | werkzeug             | INFO     | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.1.102:5000
2026-02-28 14:02:47,636 | werkzeug             | INFO     | [33mPress CTRL+C to quit[0m
2026-02-28 14:02:47,855 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:02:47] "GET / HTTP/1.1" 200 -
2026-02-28 14:02:48,109 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:02:48] "GET /api/leads?filter=all HTTP/1.1" 200 -
2026-02-28 14:02:48,118 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:02:48] "GET /api/stats HTTP/1.1" 200 -
2026-02-28 14:02:49,204 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:02:49] "GET / HTTP/1.1" 200 -
2026-02-28 14:02:49,537 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:02:49] "GET /api/leads?filter=all HTTP/1.1" 200 -
2026-02-28 14:02:49,552 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:02:49] "GET /api/stats HTTP/1.1" 200 -
2026-02-28 14:02:52,884 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:02:52] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:02:54,552 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:02:54] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:02:55,724 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:02:55] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:02:57,880 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:02:57] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:02:59,545 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:02:59] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:03:02,478 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:03:02] "GET /api/stats HTTP/1.1" 200 -
2026-02-28 14:03:02,876 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:03:02] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:03:04,548 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:03:04] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:03:07,879 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:03:07] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:03:09,552 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:03:09] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:03:12,880 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:03:12] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:03:14,550 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:03:14] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:03:17,884 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:03:17] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:03:19,555 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:03:19] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:03:22,878 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:03:22] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:03:24,553 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:03:24] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:03:27,889 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:03:27] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:03:29,543 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:03:29] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:03:34,174 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:03:34] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:03:34,422 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:03:34] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:03:37,877 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:03:37] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:03:39,542 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:03:39] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:03:42,880 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:03:42] "GET /api/status HTTP/1.1" 200 -
2026-02-28 14:03:44,555 | werkzeug             | INFO     | 127.0.0.1 - - [28/Feb/2026 14:03:44] "GET /api/status HTTP/1.1" 200 -
